CompanionKey,RespondentID,CompanionGroup,dwh_create_date
45,91853,Alone,2025-09-14 10:55:31.923000000
46,91853,Colleagues / Business partner,2025-09-14 10:55:31.923000000
47,91854,Alone,2025-09-14 10:55:31.923000000
48,91854,Friends,2025-09-14 10:55:31.923000000
49,91855,Family,2025-09-14 10:55:31.923000000
50,91855,Alone,2025-09-14 10:55:31.923000000
51,92021,Colleagues / Business partner,2025-09-14 10:55:31.923000000
52,92021,Friends,2025-09-14 10:55:31.923000000
53,92022,Friends,2025-09-14 10:55:31.923000000
54,92023,Colleagues / Business partner,2025-09-14 10:55:31.923000000
55,92023,Friends,2025-09-14 10:55:31.923000000
56,92071,Friends,2025-09-14 10:55:31.923000000
57,92072,Friends,2025-09-14 10:55:31.923000000
58,92073,Friends,2025-09-14 10:55:31.923000000
59,92075,Alone,2025-09-14 10:55:31.923000000
60,92076,Alone,2025-09-14 10:55:31.923000000
61,92078,Friends,2025-09-14 10:55:31.923000000
62,92079,Colleagues / Business partner,2025-09-14 10:55:31.923000000
63,92079,Friends,2025-09-14 10:55:31.923000000
64,92157,Family,2025-09-14 10:55:31.923000000
65,92182,Friends,2025-09-14 10:55:31.923000000
66,92182,Family,2025-09-14 10:55:31.923000000
67,92183,Family,2025-09-14 10:55:31.923000000
68,92200,Friends,2025-09-14 10:55:31.923000000
69,92316,Colleagues / Business partner,2025-09-14 10:55:31.923000000
70,92316,Friends,2025-09-14 10:55:31.923000000
71,92317,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
72,92317,Friends,2025-09-14 10:55:31.923000000
73,92317,Colleagues / Business partner,2025-09-14 10:55:31.923000000
74,92564,Family,2025-09-14 10:55:31.923000000
75,92564,Friends,2025-09-14 10:55:31.923000000
76,92584,Family,2025-09-14 10:55:31.923000000
77,92584,Friends,2025-09-14 10:55:31.923000000
78,92610,Friends,2025-09-14 10:55:31.923000000
79,92615,Family,2025-09-14 10:55:31.923000000
80,92615,Friends,2025-09-14 10:55:31.923000000
81,92616,Colleagues / Business partner,2025-09-14 10:55:31.923000000
82,92616,Friends,2025-09-14 10:55:31.923000000
83,92622,Friends,2025-09-14 10:55:31.923000000
84,92639,Alone,2025-09-14 10:55:31.923000000
85,92639,Family,2025-09-14 10:55:31.923000000
86,92640,Friends,2025-09-14 10:55:31.923000000
87,92640,Family,2025-09-14 10:55:31.923000000
88,92641,Friends,2025-09-14 10:55:31.923000000
89,92641,Family,2025-09-14 10:55:31.923000000
90,92690,Colleagues / Business partner,2025-09-14 10:55:31.923000000
91,92690,Friends,2025-09-14 10:55:31.923000000
92,92719,Family,2025-09-14 10:55:31.923000000
93,92738,Family,2025-09-14 10:55:31.923000000
94,92810,Alone,2025-09-14 10:55:31.923000000
95,92810,Friends,2025-09-14 10:55:31.923000000
96,92812,Colleagues / Business partner,2025-09-14 10:55:31.923000000
97,92812,Friends,2025-09-14 10:55:31.923000000
98,92813,Family,2025-09-14 10:55:31.923000000
99,92813,Friends,2025-09-14 10:55:31.923000000
100,92815,Family,2025-09-14 10:55:31.923000000
101,92816,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
102,92816,Friends,2025-09-14 10:55:31.923000000
103,92820,Family,2025-09-14 10:55:31.923000000
104,92820,Friends,2025-09-14 10:55:31.923000000
105,92821,Family,2025-09-14 10:55:31.923000000
106,92821,Friends,2025-09-14 10:55:31.923000000
107,92839,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
108,92839,Friends,2025-09-14 10:55:31.923000000
109,92874,Family,2025-09-14 10:55:31.923000000
110,92874,Alone,2025-09-14 10:55:31.923000000
111,92875,Colleagues / Business partner,2025-09-14 10:55:31.923000000
112,92875,Family,2025-09-14 10:55:31.923000000
113,92875,Friends,2025-09-14 10:55:31.923000000
114,92918,Alone,2025-09-14 10:55:31.923000000
115,92972,Family,2025-09-14 10:55:31.923000000
116,92972,Friends,2025-09-14 10:55:31.923000000
117,93048,Alone,2025-09-14 10:55:31.923000000
118,93050,Friends,2025-09-14 10:55:31.923000000
119,93050,Alone,2025-09-14 10:55:31.923000000
120,93066,Family,2025-09-14 10:55:31.923000000
121,93165,Friends,2025-09-14 10:55:31.923000000
122,93165,Family,2025-09-14 10:55:31.923000000
123,93165,Alone,2025-09-14 10:55:31.923000000
124,93166,Family,2025-09-14 10:55:31.923000000
125,93167,Family,2025-09-14 10:55:31.923000000
126,93168,Friends,2025-09-14 10:55:31.923000000
127,93168,Alone,2025-09-14 10:55:31.923000000
128,93183,Colleagues / Business partner,2025-09-14 10:55:31.923000000
129,93183,Friends,2025-09-14 10:55:31.923000000
130,93185,Family,2025-09-14 10:55:31.923000000
131,93186,Friends,2025-09-14 10:55:31.923000000
132,93188,Alone,2025-09-14 10:55:31.923000000
133,93191,Friends,2025-09-14 10:55:31.923000000
134,93207,Friends,2025-09-14 10:55:31.923000000
135,93327,Friends,2025-09-14 10:55:31.923000000
136,93328,Family,2025-09-14 10:55:31.923000000
137,93328,Friends,2025-09-14 10:55:31.923000000
138,93385,Colleagues / Business partner,2025-09-14 10:55:31.923000000
139,93385,Family,2025-09-14 10:55:31.923000000
140,93385,Friends,2025-09-14 10:55:31.923000000
141,93386,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
142,93386,Family,2025-09-14 10:55:31.923000000
143,93386,Friends,2025-09-14 10:55:31.923000000
144,93387,Family,2025-09-14 10:55:31.923000000
145,93387,Friends,2025-09-14 10:55:31.923000000
146,93388,Family,2025-09-14 10:55:31.923000000
147,93388,Friends,2025-09-14 10:55:31.923000000
148,93389,Colleagues / Business partner,2025-09-14 10:55:31.923000000
149,93389,Alone,2025-09-14 10:55:31.923000000
150,93389,Friends,2025-09-14 10:55:31.923000000
151,93390,Colleagues / Business partner,2025-09-14 10:55:31.923000000
152,93390,Alone,2025-09-14 10:55:31.923000000
153,93390,Friends,2025-09-14 10:55:31.923000000
154,93391,Family,2025-09-14 10:55:31.923000000
155,93391,Friends,2025-09-14 10:55:31.923000000
156,93392,Friends,2025-09-14 10:55:31.923000000
157,93979,Family,2025-09-14 10:55:31.923000000
158,93980,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
159,93981,Friends,2025-09-14 10:55:31.923000000
160,93982,Family,2025-09-14 10:55:31.923000000
161,93982,Friends,2025-09-14 10:55:31.923000000
162,94027,Family,2025-09-14 10:55:31.923000000
163,94027,Friends,2025-09-14 10:55:31.923000000
164,94132,Friends,2025-09-14 10:55:31.923000000
165,94133,Family,2025-09-14 10:55:31.923000000
166,94134,Alone,2025-09-14 10:55:31.923000000
167,94134,Friends,2025-09-14 10:55:31.923000000
168,94136,Boyfriend / Girlfriend,2025-09-14 10:55:31.923000000
169,94137,Family,2025-09-14 10:55:31.923000000
170,94138,Friends,2025-09-14 10:55:31.923000000
171,94201,Friends,2025-09-14 10:55:31.923000000
172,94202,Family,2025-09-14 10:55:31.923000000
173,94203,Colleagues / Business partner,2025-09-14 10:55:31.923000000
174,94204,Friends,2025-09-14 10:55:31.923000000
175,94205,Friends,2025-09-14 10:55:31.923000000
176,94206,Family,2025-09-14 10:55:31.923000000
177,94210,Friends,2025-09-14 10:55:31.923000000
178,94211,Friends,2025-09-14 10:55:31.923000000
